SECTION,STATION,SIGNAL NAME,CUMMULATIVE DISTANT(IN Meter)
USL-NKJ,NRZB,NRZB STR,229215.23
USL-NKJ,NRZB,NRZB ADV STR,229460.66
USL-NKJ,NRZB,GATE INNR DIST,230772.52
USL-NKJ,NRZB,GATE SIG,231763.92
USL-NKJ,NRZB,NEU SEC,232310.79
USL-NKJ,NRZB,IB,232648.3
USL-NKJ,NRZB,KKI DIST,235749.2
USL-NKJ,NRZB,KKI INNR DIST,236753.85
USL-NKJ,NRZB,KKI HOME,237741.62
USL-NKJ,KKI,KKI STR,238934.13
USL-NKJ,KKI,KKI ADV STR,239277.82
USL-NKJ,KKI,IB DIST,241051.82
USL-NKJ,KKI,IB-INR-DIST,242048.05
USL-NKJ,KKI,IB,243075.98
USL-NKJ,KKI,GATE SIG,244096.72
USL-NKJ,KKI,UMR DIST,248322.59
USL-NKJ,KKI,UMR INNR DIST,249517.37
USL-NKJ,KKI,UMR HOME,250422.74
USL-NKJ,UMR,UMR STR,251753.35
USL-NKJ,UMR,UMR INT STR,252298.11
USL-NKJ,UMR,UMR ADV STR,252777.3
USL-NKJ,UMR,IB DIST,253768.46
USL-NKJ,UMR,IB-INR-DIST,254743.57
USL-NKJ,UMR,IB,255754.81
USL-NKJ,UMR,LOA DIST,258365.38
USL-NKJ,UMR,LOA INNR DIST,259355.15
USL-NKJ,UMR,LOA HOME,260367.21
USL-NKJ,LOA,LOA STR,261389.6
USL-NKJ,LOA,LOA ADV STR,261706.45
USL-NKJ,LOA,IB DIST,263048.67
USL-NKJ,LOA,IB-INR-DIST,264074.12
USL-NKJ,LOA,IB,265096.61
USL-NKJ,LOA,CHD DIST,267331.67
USL-NKJ,LOA,CHD INNR DIST,268285.74
USL-NKJ,LOA,CHD HOME,269257.78
USL-NKJ,CHD,CHD STR,270385.92
USL-NKJ,CHD,CHD ADV STR,270648.84
USL-NKJ,CHD,VYK DIST,276448.41
USL-NKJ,CHD,VYK INNR DIST,277441.01
USL-NKJ,CHD,VYK HOME,278528.05
USL-NKJ,VYK,VYK STR,279396.41
USL-NKJ,VYK,VYK ADV STR,279638.41
USL-NKJ,VYK,NEU SEC,281952.47
USL-NKJ,VYK,RPD DIST,283014.01
USL-NKJ,VYK,RPD INNR DIST,284278.18
USL-NKJ,VYK,RPD HOME,285433.95
USL-NKJ,RPD,RPD STR,286635.44
USL-NKJ,RPD,RPD ADV STR,287262.01
USL-NKJ,RPD,IB DIST,289628.06
USL-NKJ,RPD,IB-INR-DIST,290724.99
USL-NKJ,RPD,IB,291736.66
USL-NKJ,RPD,JLW DIST,294260.9
USL-NKJ,RPD,JLW INNR DIST,295866.94
USL-NKJ,RPD,JLW HOME,296989.46
USL-NKJ,JLW,JLW STR,298651.42
USL-NKJ,JLW,JLW ADV STR,299397.58
USL-NKJ,JLW,INNR DIST,300283.33
USL-NKJ,JLW,NKJ HOME,301276.08
USL-NKJ,JLW,NKJ R HOME,302372.87
USL-NKJ,JLW,NKJ R HOME,303199.29
USL-NKJ,NKJ,NKJ STR,304091.97
USL-NKJ,NKJ,B CABIN HOME,304577.55
USL-NKJ,NKJ,B CABIN ADV STR,305208.27
USL-NKJ,NKJ,A CABIN HOME,306250.99
USL-NKJ,NKJ,A CABIN STR,306922.64
NKJ-USL,NKJ,C CABIN  STR,0
NKJ-USL,NKJ,NKJ INT STR,678.96
NKJ-USL,NKJ,NKJ ADV STR,1402.48
NKJ-USL,NKJ,L XING:,2184.79
NKJ-USL,NKJ,JLW INNR DIST,2444.8
NKJ-USL,NKJ,JLW HOME,3468.35
NKJ-USL,JLW,JLW STR,5073.47
NKJ-USL,JLW,L XING:,5218.91
NKJ-USL,JLW,JLW ADV STR,5809.72
NKJ-USL,JLW,IB DIST,9295.87
NKJ-USL,JLW,IB-INR-DIST,10323.17
NKJ-USL,JLW,IB,11374.58
NKJ-USL,JLW,RPD DIST,13202.28
NKJ-USL,JLW,RPD INNR DIST,14232.06
NKJ-USL,JLW,RPD HOME,15228.4
NKJ-USL,JLW,L XING:,15992.02
NKJ-USL,RPD,RPD STR,16851.77
NKJ-USL,RPD,RPD ADV STR,17186
NKJ-USL,RPD,NEU SEC,20772.14
NKJ-USL,RPD,VYK DIST,21055.21
NKJ-USL,RPD,VYK INNR DIST,22093.61
NKJ-USL,RPD,VYK HOME,23003.78
NKJ-USL,VYK,VKY STR,24073.31
NKJ-USL,VYK,CHD DIST,29792.28
NKJ-USL,VYK,CHD INNR DIST,30740.05
NKJ-USL,VYK,CHD HOME,31813.09
NKJ-USL,CHD,CHD STR,33380.22
NKJ-USL,CHD,CHD ADV STR,33681.78
NKJ-USL,CHD,IB DIST,36545.98
NKJ-USL,CHD,IB-INR-DIST,37561.7
NKJ-USL,CHD,IB,38571.81
NKJ-USL,CHD,LOA INNR DIST,40224.47
NKJ-USL,CHD,LOA HOME,41236.31
NKJ-USL,LOA,LOA STR,42245.36
NKJ-USL,LOA,LOA ADV STR,42527.58
NKJ-USL,LOA,IB DIST,44891.04
NKJ-USL,LOA,IB-INR-DIST,45935.68
NKJ-USL,LOA,IB,46937.89
NKJ-USL,LOA,UMR DIST,48083.33
NKJ-USL,LOA,UMR INNR DIST,49119.96
NKJ-USL,LOA,UMR HOME,50162.67
NKJ-USL,LOA,L XING:,50607.69
NKJ-USL,LOA,UMR R HOME,51236.48
NKJ-USL,UMR,UMR STR,52212.46
NKJ-USL,UMR,UMR ADV STR,52541.97
NKJ-USL,UMR,GATE DIST,56611.16
NKJ-USL,UMR,GATE INNR DIST,57616.38
NKJ-USL,UMR,GATE SIG,58607.87
NKJ-USL,UMR,L XING:,58815.17
NKJ-USL,UMR,IB,59714.99
NKJ-USL,UMR,KKI DIST,61776.98
NKJ-USL,UMR,KKI INNR DIST,62761.04
NKJ-USL,UMR,KKI HOME,63756.42
NKJ-USL,KKI,KKI STR,64884.94
NKJ-USL,KKI,KKI ADV STR,65240.37
NKJ-USL,KKI,IB DIST,67639.14
NKJ-USL,KKI,IB-INR-DIST,68667.54
NKJ-USL,KKI,IB,69749.03
NKJ-USL,KKI,GATE SIG,70966.51
NKJ-USL,KKI,NEU SEC,71166.74
NKJ-USL,KKI,NRZB INNR DIST,72594.27
NKJ-USL,KKI,NRZB HOME,73566.76
NKJ-USL,NRZB,NRZB STR,74706.27
NKJ-USL,NRZB,NRZB ADV STR,75116.75
NKJ-USL,NRZB,L XING:,75748.61
NKJ-USL,NRZB,BRS DIST,78500.62
NKJ-USL,NRZB,BRS INNR DIST,79592.4
NKJ-USL,NRZB,BRS HOME,80632.86
NKJ-USL,BRS,BRS STR,81986.37
NKJ-USL,BRS,BRS ADV STR,82441.66
NKJ-USL,BRS,MDXR DIST,84120.48
NKJ-USL,BRS,MDXR INNR DIST,85266.28
NKJ-USL,BRS,MDXR HOME,86252.05
NKJ-USL,MDXR,MDXR STR,87294.82
NKJ-USL,MDXR,MDXR ADV STR,87654.08
NKJ-USL,MDXR,IB DIST,89092.08
NKJ-USL,MDXR,IB-INR-DIST,90356.47
NKJ-USL,MDXR,IB,91367.78
NKJ-USL,MDXR,GATE INNR DIST,92089.35
NKJ-USL,MDXR,GATE SIG,93034.87
NKJ-USL,MDXR,L XING:,93190.1
NKJ-USL,MDXR,GGT DIST,94509.34
NKJ-USL,MDXR,GGT INNR DIST,95497.55
NKJ-USL,MDXR,GGT HOME,96552.76
NKJ-USL,GGT,GGT STR,97882.11
NKJ-USL,GGT,GGT ADV STR,98193.61
NKJ-USL,GGT,IB DIST,101510.86
NKJ-USL,GGT,IB-INR-DIST,102484.96
NKJ-USL,GGT,IB,103461.79
NKJ-USL,GGT,BDWA DIST,106531.56
NKJ-USL,GGT,BDWA INNR DIST,107688.88
NKJ-USL,GGT,BDWA HOME,108798.68
NKJ-USL,BDWA,BDWA STR,110036.79
NKJ-USL,BDWA,BDWA ADV STR,110268.13
NKJ-USL,BDWA,IB DIST,110982.32
NKJ-USL,BDWA,IB-INR-DIST,111970.65
NKJ-USL,BDWA,IB,113282.36
NKJ-USL,BDWA,NEU SEC,113759.83
NKJ-USL,BDWA,GATE DIST,115066.99
NKJ-USL,BDWA,GATE INNR DIST,116063.74
NKJ-USL,BDWA,GATE SIG,117055.22
NKJ-USL,BDWA,L XING:,117253.26
NKJ-USL,BDWA,SDL HOME,117335.24
NKJ-USL,SDL,SDL STR,118541.7
NKJ-USL,SDL,SDL ADV STR,119260.97
NKJ-USL,SDL,SNGP DIST,121148.1
NKJ-USL,SDL,SNGP INNR DIST,122126.03
NKJ-USL,SDL,SNGP HOME,123132.8
NKJ-USL,SNGP,SNGP STR,124222.17
NKJ-USL,SNGP,SNGP ADV STR,124463.66
NKJ-USL,SNGP,IB DIST,129648.53
NKJ-USL,SNGP,IB-INR-DIST,130630.85
NKJ-USL,SNGP,IB,131656.48
NKJ-USL,SNGP,L XING:,133865.82
NKJ-USL,SNGP,BUH DIST,134357.19
NKJ-USL,SNGP,BUH INNR DIST,135449.75
NKJ-USL,SNGP,BUH HOME,136453.15
NKJ-USL,BUH,BUH STR,137679.41
NKJ-USL,BUH,BUH ADV STR,137898.32
NKJ-USL,BUH,IB DIST,140022.31
NKJ-USL,BUH,IB-INR-DIST,141007.11
NKJ-USL,BUH,IB,141960.09
NKJ-USL,BUH,GATE INNR DIST,143293.98
NKJ-USL,BUH,GATE SIG,144280.21
NKJ-USL,BUH,L XING:,144477.09
NKJ-USL,BUH,AAL HOME,144858.14
NKJ-USL,AAL,AAL STR,145922.83
NKJ-USL,AAL,AAL ADV STR,146622.04
NKJ-USL,AAL,IB DIST,151740.14
NKJ-USL,AAL,IB-INR-DIST,152765.32
NKJ-USL,AAL,IB,154012.6
NKJ-USL,AAL,APR DIST,154885.32
NKJ-USL,AAL,APR INNR DIST,156221.98
NKJ-USL,AAL,APR HOME,157232.77
NKJ-USL,APR,APR STR,158625.63
NKJ-USL,APR,APR ADV STR,159121.45
NKJ-USL,APR,NEU SEC,160040.63
NKJ-USL,APR,CLF DIST,160644.79
NKJ-USL,APR,CLF INNR DIST,161652.36
NKJ-USL,APR,CLF HOME,162649.62
NKJ-USL,CLF,CLF STR,164057.12
NKJ-USL,CLF,CLF ADV STR,164378.2
NKJ-USL,CLF,GATE DIST,165684.05
NKJ-USL,CLF,GATE INNR DIST,166235.46
NKJ-USL,CLF,GATE SIG,167211.87
NKJ-USL,CLF,JTI DIST,169363.91
NKJ-USL,CLF,JTI INNR DIST,170298.37
NKJ-USL,CLF,JTI HOME,171356.7
NKJ-USL,JTI,JTI STR,172847.86
NKJ-USL,JTI,JTI INT STR,173396.57
NKJ-USL,JTI,JTI ADV STR,173615.11
NKJ-USL,JTI,NEU SEC,178656.85
NKJ-USL,JTI,NIQ DIST,179327.47
NKJ-USL,JTI,NIQ INNR DIST,180349.99
NKJ-USL,JTI,NIQ HOME,181379.13
NKJ-USL,NIQ,NIQ STR,182611.39
NKJ-USL,NIQ,NIQ ADV STR,182921.52
NKJ-USL,NIQ,VKR DIST,186475.52
NKJ-USL,NIQ,VKR INNR DIST,187474.89
NKJ-USL,NIQ,VKR HOME,188480.82
NKJ-USL,VKR,VKR STR,189706.61
NKJ-USL,VKR,VKR ADV STR,190093.58
NKJ-USL,VKR,HRB DIST,197223.55
NKJ-USL,VKR,HRB INNR DIST,198271.09
NKJ-USL,VKR,HRB HOME,199282.98
NKJ-USL,HRB,HRB STR,200485.96
NKJ-USL,HRB,HRB ADV STR,201070.88
NKJ-USL,HRB,GATE DIST,204904.94
NKJ-USL,HRB,GATE INNR DIST,205981.56
NKJ-USL,HRB,GATE SIG,206986.65
NKJ-USL,HRB,PND HOME,207361.08
NKJ-USL,PND,PND STR,208810.53
NKJ-USL,PND,PND ADV STR,209317.51
NKJ-USL,PND,NEU SEC,210198.92
NKJ-USL,PND,SBRA DIST,211388.77
NKJ-USL,PND,SBRA INNR DIST,212774.57
NKJ-USL,PND,SBRA HOME,213880.8
NKJ-USL,SBRA,SBRA STR,214966.67
NKJ-USL,SBRA,SBRA ADV STR,215200.83
NKJ-USL,SBRA,KOI DIST,217623.72
NKJ-USL,SBRA,KOI INNR DIST,218780.36
NKJ-USL,SBRA,KOI HOME,219882.1
NKJ-USL,KOI,KOI STR,221007.57
NKJ-USL,KOI,L XING:,221269.29
NKJ-USL,KOI,KOI ADV STR,221330.43
NKJ-USL,KOI,BHTK DIST,230083.43
NKJ-USL,KOI,BHTK INNR DIST,231093.43
NKJ-USL,KOI,BHTK HOME,232090.43
NKJ-USL,BHTK,BHTK STR,232710.7
NKJ-USL,BHTK,BHTK ADV STR,232796.82
NKJ-USL,BHTK,KGS DIST,241548.82
NKJ-USL,BHTK,NEU SEC,241988.28
NKJ-USL,BHTK,KGS INNR DIST,242601.68
NKJ-USL,BHTK,KGS HOME,243612.08
NKJ-USL,KGS,KGS STR,244911.96
NKJ-USL,KGS,KGS ADV STR,245277.38
NKJ-USL,KGS,TGQ DIST,249741.69
NKJ-USL,KGS,TGQ INNR DIST,250785.11
NKJ-USL,KGS,TGQ HOME,251870.63
NKJ-USL,TGQ,TGQ STR,253059.28
NKJ-USL,TGQ,TGQ ADV STR,253375.71
NKJ-USL,TGQ,BIG DIST,259562.15
NKJ-USL,TGQ,BIG INNR DIST,260588.24
NKJ-USL,TGQ,BIG HOME,261575.94
NKJ-USL,BIG,BIG STR,262855.82
NKJ-USL,BIG,BIG ADV STR,263297.29
NKJ-USL,BIG,NEU SEC,264254.4
NKJ-USL,BIG,SLKR DIST,267281.32
NKJ-USL,BIG,SLKR INNR DIST,268272.05
NKJ-USL,BIG,SLKR HOME,269307.81
NKJ-USL,SLKR,SLKR STR,270636.9
NKJ-USL,SLKR,SLKR ADV STR,270980.09
NKJ-USL,SLKR,KGB DIST,274952.58
NKJ-USL,SLKR,KGB INNR DIST,276161.26
NKJ-USL,SLKR,KGB HOME,277198.33
NKJ-USL,KGB,KGB STR,278459.7
NKJ-USL,KGB,KGB ADV STR,278857.82
NKJ-USL,KGB,KLTR DIST,282678.15
NKJ-USL,KGB,KLTR INNR DIST,283759.2
NKJ-USL,KGB,KLTR HOME,284909.67
NKJ-USL,KLTR,KLTR STR,286039.5
NKJ-USL,KLTR,KLTR ADV STR,286374.66
NKJ-USL,KLTR,GTK DIST,290746.62
NKJ-USL,KLTR,NEU SEC,291471.42
NKJ-USL,KLTR,GTK INNR DIST,291753.08
NKJ-USL,KLTR,GTK HOME,293116.21
NKJ-USL,GTK,GTK STR,294462.18
NKJ-USL,GTK,GTK ADV STR,294891.85
NKJ-USL,GTK,A:AK8,296159.78
NKJ-USL,GTK,A:AK6,297513.26
NKJ-USL,GTK,A:AK4,298524.97
NKJ-USL,GTK,USL HOME,300527.93
NKJ-USL,USL,USL STR,302084.83
SDL-ABKP,SDL,SDL STR,0
SDL-ABKP,SDL,SDL ADV STR,752.73
SDL-ABKP,SDL,DIST,2621.9
SDL-ABKP,SDL,SNGP INNR DIST,3624.27
SDL-ABKP,SDL,SNGP HOME,4620.62
SDL-ABKP,SNGP,SNGP STR,5684.2
SDL-ABKP,SNGP,SNGP ADV STR,5983.91
SDL-ABKP,SNGP,IB DIST,10941.84
SDL-ABKP,SNGP,IB-INR-DIST,11997.2
SDL-ABKP,SNGP,IB,13062.1
SDL-ABKP,SNGP,L XING:,15339.73
SDL-ABKP,SNGP,BUH DIST,15740.16
SDL-ABKP,SNGP,BUH INNR DIST,16786.86
SDL-ABKP,SNGP,BUH HOME,17844.8
SDL-ABKP,BUH,BUH STR,19169.7
SDL-ABKP,BUH,BUH ADV STR,19449.61
SDL-ABKP,BUH,IB DIST,21499.32
SDL-ABKP,BUH,IB-INR-DIST,22492.46
SDL-ABKP,BUH,IB,23454.19
SDL-ABKP,BUH,GATE INNR DIST,24694.97
SDL-ABKP,BUH,GATE SIG,25735.18
SDL-ABKP,BUH,L XING:,25931.05
SDL-ABKP,BUH,AAL HOME,26269.61
SDL-ABKP,AAL,AAL STR,27807.96
SDL-ABKP,AAL,AAL ADV STR,28067.36
SDL-ABKP,AAL,IB DIST,33222.27
SDL-ABKP,AAL,IB-INR-DIST,34232.51
SDL-ABKP,AAL,IB,35500.75
SDL-ABKP,AAL,APR DIST,36376.85
SDL-ABKP,AAL,APR INNR DIST,37704.98
SDL-ABKP,AAL,APR HOME,38695.25
SDL-ABKP,APR,APR STR,40108.07
SDL-ABKP,APR,APR ADV STR,40578.73
SDL-ABKP,APR,NEU SEC,41464.35
SDL-ABKP,APR,MZH DIST,45545.98
SDL-ABKP,APR,MZH HOME,46623.67
SDL-ABKP,MZH,MZH STR,47765.28
SDL-ABKP,MZH,MZH ADV STR,48035.22
SDL-ABKP,MZH,HALT DRSH,55262.12
SDL-ABKP,MZH,HRV DIST,60220.71
SDL-ABKP,MZH,HRV HOME,61246.12
SDL-ABKP,HRV,HRV STR,62631.85
SDL-ABKP,HRV,HRV ADV STR,63144.68
SDL-ABKP,HRV,KTMA DIST,69007.95
SDL-ABKP,HRV,KTMA HOME,70102.73
SDL-ABKP,KTMA,KTMA STR,71401.77
SDL-ABKP,KTMA,KTMA ADV STR,71918.77
SDL-ABKP,KTMA,NEU SEC,73676.1
SDL-ABKP,KTMA,BATL DIST,77359.67
SDL-ABKP,BATL,BATL STR,78355.72
SDL-ABKP,BATL,BJRI DIST,84834.77
SDL-ABKP,BATL,BJRI HOME,85850.68
SDL-ABKP,BJRI,BJRI STR,87233.75
SDL-ABKP,BJRI,BJRI ADV STR,87721.36
SDL-ABKP,BJRI,GATE SIG,88520.57
SDL-ABKP,BJRI,L XING:,88710.16
SDL-ABKP,BJRI,BRND DIST,93205.57
SDL-ABKP,BJRI,BRND HOME,94337.12
SDL-ABKP,BRND,BRND STR,95507.02
SDL-ABKP,BRND,BRND ADV STR,95881.04
SDL-ABKP,BRND,IB DIST,99814.05
SDL-ABKP,BRND,IB,100723.42
SDL-ABKP,BRND,GATE DIST,103194.35
SDL-ABKP,BRND,NEU SEC,103759.02
SDL-ABKP,BRND,GATE SIG,104209.42
SDL-ABKP,BRND,L XING:,104410.1
SDL-ABKP,BRND,UKR HOME,104754.45
SDL-ABKP,BRND,L XING:,105222.86
SDL-ABKP,UKR,UKR STR,106085.06
SDL-ABKP,UKR,UKR ADV STR,106300.2
SDL-ABKP,UKR,IB-DIST,113400.79
SDL-ABKP,UKR,HALT NPRD,113585
SDL-ABKP,UKR,IB,114505.94
SDL-ABKP,UKR,DTL DIST,117495.81
SDL-ABKP,UKR,DTL HOME,118556.65
SDL-ABKP,DTL,DTL STR,119746.76
SDL-ABKP,DTL,DTL ADV STR,120148.71
SDL-ABKP,DTL,NGE DIST,124138.67
SDL-ABKP,DTL,NGE HOME,125340.46
SDL-ABKP,NGE,NGE STR,126525.78
SDL-ABKP,NGE,NGE ADV STR,126809.49
SDL-ABKP,NGE,DIST,131999.94
SDL-ABKP,NGE,BRH HOME,133019.35
SDL-ABKP,BRH,BRH STR,134338.64
SDL-ABKP,BRH,BRH ADV STR,134626.23
SDL-ABKP,BRH,IB-DIST,140801.55
SDL-ABKP,BRH,IB,141797.91
SDL-ABKP,BRH,KTO DIST,148037.68
SDL-ABKP,BRH,KTO HOME,149055.4
SDL-ABKP,KTO,KTO STR,150337.92
SDL-ABKP,KTO,KTO ADV STR,150537.03
SDL-ABKP,KTO,NEU SEC,150919.03
SDL-ABKP,KTO,SPRD DIST,155871.5
SDL-ABKP,KTO,SPRD HOME,156884.64
SDL-ABKP,SPDR,SPRD STR,158466.05
SDL-ABKP,SPDR,SPRD ADV STR,158764.66
SDL-ABKP,SPDR,GATE SIG,159416.08
SDL-ABKP,SPDR,L XING:,159651.38
SDL-ABKP,SPDR,HALT SPDR,160445.17
SDL-ABKP,SPDR,GATE DIST,169372.62
SDL-ABKP,SPDR,GATE SIG,170395.2
SDL-ABKP,SPDR,L XING:,170581.63
SDL-ABKP,SPDR,SJQ HOME,170733.12
SDL-ABKP,SJQ,SJQ STR,172104.17
SDL-ABKP,SJQ,SJQ ADV STR,172482.09
SDL-ABKP,SJQ,KJZ DIST,175240.4
SDL-ABKP,SJQ,KJZ HOME,176306.84
SDL-ABKP,KJZ,KJZ STR,177733.66
SDL-ABKP,KJZ,KJZ ADV STR,178174.87
SDL-ABKP,KJZ,GATE DIST,181186.7
SDL-ABKP,KJZ,GATE SIG,182196.59
SDL-ABKP,KJZ,L XING:,182399.54
SDL-ABKP,KJZ,BSPR DIST,188284.22
SDL-ABKP,KJZ,BSPR HOME,189284.61
SDL-ABKP,KJZ,L XING:,189497.73
SDL-ABKP,BSPR,BSPR STR,190869.62
SDL-ABKP,BSPR,BSPR ADV STR,191165.66
SDL-ABKP,BSPR,GATE SIG,191492.13
SDL-ABKP,BSPR,L XING:,191675.86
SDL-ABKP,BSPR,KLPG DIST,198081.76
SDL-ABKP,BSPR,KLPG HOME,199067.58
SDL-ABKP,KLPG,KLPG STR,200256.83
SDL-ABKP,KLPG,KLPG ADV STR,200541.61
SDL-ABKP,KLPG,ABKP DIST,206385.06
SDL-ABKP,KLPG,ABKP HOME,207364.36
SDL-ABKP,ABKP,ABKP STR,208484.36
ABKP-SDL,ABKP,ABKP STR,0
ABKP-SDL,ABKP,ABKP ADV STR,472.66
ABKP-SDL,ABKP,KLPG DIST,6272.66
ABKP-SDL,ABKP,KLPG HOME,7300.95
ABKP-SDL,KLPG,KLPG STR,8597.75
ABKP-SDL,KLPG,KLPG ADV STR,8849.34
ABKP-SDL,KLPG,GATE DIST,16605.8
ABKP-SDL,KLPG,GATE SIG,17563.37
ABKP-SDL,KLPG,L XING:,17764.88
ABKP-SDL,KLPG,BSPR HOME,18031.62
ABKP-SDL,BSPR,BSPR STR,19315.09
ABKP-SDL,BSPR,BSPR ADV STR,19787.43
ABKP-SDL,BSPR,L XING:,19931.29
ABKP-SDL,BSPR,GATE DIST,25656.94
ABKP-SDL,BSPR,GATE SIG,26661.07
ABKP-SDL,BSPR,L XING:,26848.83
ABKP-SDL,BSPR,KJZ DIST,29900.3
ABKP-SDL,BSPR,KJZ HOME,30898.58
ABKP-SDL,KJZ,KJZ STR,32305.16
ABKP-SDL,KJZ,INT STR,32629.67
ABKP-SDL,KJZ,KJZ ADV STR,32806.15
ABKP-SDL,KJZ,SJQ DIST,35549.87
ABKP-SDL,KJZ,SJQ HOME,36578.24
ABKP-SDL,SJQ,SJQ STR,37956.29
ABKP-SDL,SJQ,SJQ ADV STR,38333.16
ABKP-SDL,SJQ,L XING:,38671.08
ABKP-SDL,SJQ,GATE DIST,48401.26
ABKP-SDL,SJQ,SPDR PH,48936.44
ABKP-SDL,SJQ,GATE SIG,49451.46
ABKP-SDL,SJQ,L XING:,49606.3
ABKP-SDL,SJQ,SPRD HOME,50295.2
ABKP-SDL,SPDR,SPRD STR,51858.12
ABKP-SDL,SPDR,SPRD ADV STR,52167.48
ABKP-SDL,SPDR,NEU SEC,55955.39
ABKP-SDL,SPDR,KTO DIST,56370.54
ABKP-SDL,SPDR,KTO HOME,57452.83
ABKP-SDL,KTO,KTO STR,58621.86
ABKP-SDL,KTO,KTO ADV STR,58984.62
ABKP-SDL,KTO,IB DIST,64783.74
ABKP-SDL,KTO,IB,65856.93
ABKP-SDL,KTO,BRH DIST,72263.19
ABKP-SDL,KTO,BRH HOME,73297.15
ABKP-SDL,BRH,BRH STR,74596.13
ABKP-SDL,BRH,BRH ADV STR,74887.9
ABKP-SDL,BRH,NGE DIST,80138.12
ABKP-SDL,BRH,NGE HOME,81193
ABKP-SDL,NGE,NGE STR,82398.18
ABKP-SDL,NGE,NGE ADV STR,82684.89
ABKP-SDL,NGE,DTL DIST,86709.57
ABKP-SDL,NGE,DTL HOME,87767.02
ABKP-SDL,DTL,DTL STR,89106.2
ABKP-SDL,DTL,DTL ADV STR,89378.54
ABKP-SDL,DTL,IB DIST,92122.1
ABKP-SDL,DTL,IB,93015.31
ABKP-SDL,DTL,NPRD PH,93890.88
ABKP-SDL,DTL,UKR DIST,100631.06
ABKP-SDL,DTL,UKR HOME,101624.67
ABKP-SDL,UKR,UKR STR,102794.12
ABKP-SDL,UKR,UKR ADV STR,103042.03
ABKP-SDL,UKR,NEU SEC,103658.1
ABKP-SDL,UKR,GATE SIG,103768.62
ABKP-SDL,UKR,L XING:,103970.84
ABKP-SDL,UKR,IB DIST,105954.23
ABKP-SDL,UKR,IB,107054.72
ABKP-SDL,UKR,BRND DIST,112329.27
ABKP-SDL,UKR,BRND HOME,113185.39
ABKP-SDL,BRND,BRND STR,114422.53
ABKP-SDL,BRND,BRND ADV STR,114836.9
ABKP-SDL,BRND,GATE DIST,119131.34
ABKP-SDL,BRND,GATE SIG,120137.43
ABKP-SDL,BRND,L XING:,120372.72
ABKP-SDL,BRND,BJRI HOME,121279.3
ABKP-SDL,BJRI,BJRI STR,122585.23
ABKP-SDL,BJRI,BJRI ADV STR,123082.21
ABKP-SDL,BJRI,BATL DIST,128138.8
ABKP-SDL,BATL,BATL STR,129155.7
ABKP-SDL,BATL,NEU SEC,135229.22
ABKP-SDL,BATL,KTMA DIST,135594.11
ABKP-SDL,BATL,KTMA HOME,136964.51
ABKP-SDL,KTMA,KTMA STR,138412.92
ABKP-SDL,KTMA,KTMA ADV STR,138651.04
ABKP-SDL,KTMA,HRV DIST,144619.64
ABKP-SDL,KTMA,HRV HOME,145693.76
ABKP-SDL,HRV,HRV STR,147271.61
ABKP-SDL,HRV,HRV ADV STR,147604.59
ABKP-SDL,HRV,DRSN PH,153745.86
ABKP-SDL,HRV,MZH DIST,159714.59
ABKP-SDL,HRV,MZH HOME,160745.35
ABKP-SDL,MZH,MZH STR,161856.6
ABKP-SDL,MZH,MZH ADV STR,162364.23
ABKP-SDL,MZH,APR DIST,167182.87
ABKP-SDL,MZH,NEU SEC,167428.25
ABKP-SDL,MZH,APR HOME,168268.18
ABKP-SDL,APR,APR STR,169710.89
ABKP-SDL,APR,APR ADV STR,170101.78
ABKP-SDL,APR,IB-INR-DIST,170821.95
ABKP-SDL,APR,IB,171861.4
ABKP-SDL,APR,AAL DIST,178747.8
ABKP-SDL,APR,AAL INNR DIST,179793.21
ABKP-SDL,APR,AAL HOME,180763.41
ABKP-SDL,AAL,AAL STR,182215.57
ABKP-SDL,AAL,AAL ADV STR,182688.29
ABKP-SDL,AAL,GATE SIG,182881.73
ABKP-SDL,AAL,L XING:,183069.82
ABKP-SDL,AAL,IB-INR-DIST,183517.94
ABKP-SDL,AAL,IB,184536.62
ABKP-SDL,AAL,BUH DIST,187050.93
ABKP-SDL,AAL,BUH INNR DIST,188075.63
ABKP-SDL,AAL,BUH HOME,189092.04
ABKP-SDL,BUH,BUH STR,190419.88
ABKP-SDL,BUH,BUH ADV STR,191026.83
ABKP-SDL,BUH,IB DIST,193164.6
ABKP-SDL,BUH,L XING:,193448.11
ABKP-SDL,BUH,IB INNR DIST,194227.14
ABKP-SDL,BUH,IB,195329.5
ABKP-SDL,BUH,SNGP DIST,200693.22
ABKP-SDL,BUH,SNGP INNR DIST,201685.34
ABKP-SDL,BUH,SNGP HOME,202707.3
ABKP-SDL,SNGP,SNGP STR,203818.15
ABKP-SDL,SNGP,SNGP ADV STR,204061.22
ABKP-SDL,SNGP,SDL DIST,205636.42
ABKP-SDL,SNGP,SDL INNR DIST,206832.38
ABKP-SDL,SNGP,SDL HOME,207877.44
ABKP-SDL,SDL,SDL STR,208922.44
